,id,site,station,artist,title,timestamp,createdOn
0,78859676,wmmr.com,WMMRFM,P.O.D.,Youth Of The Nation,1621392375,2021-05-19T02:47:29.000Z
1,78859425,wmmr.com,WMMRFM,Fuel,Hemorrhage (In My Hands),1621392122,2021-05-19T02:42:30.000Z
2,78859208,wmmr.com,WMMRFM,Mammoth WVH,Distance,1621391855,2021-05-19T02:38:28.000Z
3,78859032,wmmr.com,WMMRFM,System Of A Down,Toxicity,1621391627,2021-05-19T02:34:31.000Z
4,78858340,wmmr.com,WMMRFM,Ac/Dc,Shot In The Dark,1621390788,2021-05-19T02:20:29.000Z
5,78858183,wmmr.com,WMMRFM,Green Day,Longview,1621390557,2021-05-19T02:17:30.000Z
6,78857957,wmmr.com,WMMRFM,Ayron Jones,Mercy,1621390287,2021-05-19T02:12:29.000Z
7,78857425,wmmr.com,WMMRFM,Yes,Yours Is No Disgrace,1621389697,2021-05-19T02:02:29.000Z
8,78856849,wmmr.com,WMMRFM,Weezer,I Need Some of That,1621388988,2021-05-19T01:50:29.000Z
9,78856688,wmmr.com,WMMRFM,Stone Temple Pilots,Vasoline,1621388814,2021-05-19T01:47:29.000Z
10,78856459,wmmr.com,WMMRFM,311,Creatures (For a While),1621388500,2021-05-19T01:42:29.000Z
11,78856170,wmmr.com,WMMRFM,Pretty Reckless,And So It Went,1621388179,2021-05-19T01:37:29.000Z
12,78855965,wmmr.com,WMMRFM,Staind,So Far Away,1621387931,2021-05-19T01:33:28.000Z
13,78855381,wmmr.com,WMMRFM,Chris Cornell,Patience,1621387257,2021-05-19T01:21:29.000Z
14,78855170,wmmr.com,WMMRFM,Tom Petty,Runnin' Down A Dream,1621387004,2021-05-19T01:17:28.000Z
15,78855111,wmmr.com,WMMRFM,Lenny Kravitz,Where Are We Runnin',1621386848,2021-05-19T01:15:29.000Z
16,78854839,wmmr.com,WMMRFM,Royal Blood,Typhoons,1621386576,2021-05-19T01:10:29.000Z
17,78854623,wmmr.com,WMMRFM,Temple Of The Dog,Hunger Strike,1621386331,2021-05-19T01:06:29.000Z
18,78854497,wmmr.com,WMMRFM,Cake,Short Skirt/Long Jacket,1621386135,2021-05-19T01:03:29.000Z
19,78853928,wmmr.com,WMMRFM,Cheap Trick,Light Up The Fire,1621385501,2021-05-19T00:52:30.000Z
20,78853784,wmmr.com,WMMRFM,Larkin Poe,Holy Ghost Fire,1621385299,2021-05-19T00:49:29.000Z
21,78853606,wmmr.com,WMMRFM,Kings Of Leon,Family Tree,1621385049,2021-05-19T00:45:29.000Z
22,78853269,wmmr.com,WMMRFM,Greta Van Fleet,Heat Above,1621384705,2021-05-19T00:39:29.000Z
23,78853116,wmmr.com,WMMRFM,Dorothy,Down To The Bottom,1621384539,2021-05-19T00:36:28.000Z
24,78852466,wmmr.com,WMMRFM,Killers,Caution,1621383776,2021-05-19T00:23:28.000Z
25,78852306,wmmr.com,WMMRFM,Evanescence,Bring Me To Life,1621383541,2021-05-19T00:19:30.000Z
26,78852177,wmmr.com,WMMRFM,Devo,Whip It,1621383377,2021-05-19T00:17:29.000Z
27,78851993,wmmr.com,WMMRFM,Offspring,Let The Bad Times Roll,1621383135,2021-05-19T00:13:29.000Z
28,78851786,wmmr.com,WMMRFM,Live,I Alone,1621382896,2021-05-19T00:09:29.000Z
29,78851510,wmmr.com,WMMRFM,Metallica,Sad But True,1621382572,2021-05-19T00:03:30.000Z
30,78851010,wmmr.com,WMMRFM,Mammoth WVH,Don't Back Down,1621381941,2021-05-18T23:53:29.000Z
31,78850737,wmmr.com,WMMRFM,Audioslave,Like A Stone,1621381641,2021-05-18T23:48:29.000Z
32,78850510,wmmr.com,WMMRFM,Ac/Dc,Realize,1621381343,2021-05-18T23:43:30.000Z
33,78850290,wmmr.com,WMMRFM,Queen,Fat Bottomed Girls,1621381081,2021-05-18T23:39:30.000Z
34,78849641,wmmr.com,WMMRFM,Weezer,Hero,1621380295,2021-05-18T23:26:29.000Z
35,78849210,wmmr.com,WMMRFM,Cure,Friday I'm In Love,1621379770,2021-05-18T23:17:30.000Z
36,78848924,wmmr.com,WMMRFM,Nancy Wilson,Daughter,1621379525,2021-05-18T23:12:29.000Z
37,78848795,wmmr.com,WMMRFM,Foo Fighters,All My Life,1621379276,2021-05-18T23:09:29.000Z
38,78848330,wmmr.com,WMMRFM,George Thorogood,One Bourbon One Scotch One Beer,1621378746,2021-05-18T23:00:29.000Z
39,78847627,wmmr.com,WMMRFM,Cage The Elephant,Social Cues ,1621377951,2021-05-18T22:46:29.000Z
40,78847477,wmmr.com,WMMRFM,Cage The Elephant,Ain't No Rest For The Wicked,1621377780,2021-05-18T22:43:30.000Z
41,78847291,wmmr.com,WMMRFM,Shinedown,Get Up,1621377536,2021-05-18T22:39:29.000Z
42,78847135,wmmr.com,WMMRFM,Smith and Myers,Not Mad Enough,1621377325,2021-05-18T22:36:29.000Z
43,78847003,wmmr.com,WMMRFM,Papa Roach,Last Resort,1621377129,2021-05-18T22:33:30.000Z
44,78846780,wmmr.com,WMMRFM,Papa Roach,Come Around,1621376922,2021-05-18T22:29:29.000Z
45,78846034,wmmr.com,WMMRFM,Red Hot Chili Peppers,Breaking The Girl,1621376018,2021-05-18T22:14:29.000Z
